編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
1017,Epipactis helleborine subsp. ohwii,臺灣鈴蘭,,Endemic,,,,第一級,,,,,,
1018,Eria javanica,大葉绒蘭,,,,,,,稀有級,III,III,III,,
1019,Eria robusta,細花絨蘭,,,,,,,,,,,A,HR
1020,Erythrorchis altissima,蔓莖山珊瑚,,,,,,,稀有級,,,,,
1021,Eulophia dentata ,紫芋蘭,,,,,,第三級,,,,,,
1022,Eulophia graminea,禾草芋蘭,,,,,,,稀有級,,,,,
1023,Eulophia hirsuta,毛芋蘭,,,,,,第四級,,,,,,
1024,Flickingeria comata,木斛,,,,,,,稀有級,I,I,I,A,HR MP
1025,Flickingeria tairukounia,輻射暫花蘭,,Endemic,,,rank4,,稀有級,,,,,
1026,Erythrorchis altissima,蔓莖山珊瑚,,,,,,,,I,I,I,,
1027,Gastrochilus hoii,何氏松蘭,,Endemic,VU(Ⅵ),,rank3,,,,,,,
1028,Gastrochilus linii,金松蘭,,Endemic,,,rank4,第四級,,,,,,
1029,Gastrochilus matsudae,寬唇松蘭,,Endemic,,,rank3,第一級,,,,,,
1030,Gastrochilus raraensis,紅檜松蘭,,Endemic,VU(Ⅵ),,,,,,,,,
1031,Gastrodia appendiculata,無蕊喙赤箭,,Endemic,,,rank2,,,,,,,
1032,Gastrodia flavilabella,夏赤箭,,Endemic,,,rank2,第一級,,,,,,
1033,Gastrodia fontinalis,春赤箭,,Endemic,,,rank2,第四級,,,,,,
1034,Gastrodia peichatieniana ,秋赤箭,,Endemic,,,,第四級,,,,,,
1035,Gastrodia pubilabiata ,冬赤箭,,,,,,第四級,,,,,,
1036,Goodyera arisanensis,阿里山斑葉蘭,,Endemic,,,rank3,,,,,,,
1037,Goodyera biflora,大花斑葉蘭,,,,,,,稀有級,III,III,III,,
1038,Goodyera formosana,臺灣斑葉蘭,,,,,,,,I,I,I,,
1039,Goodyera fumata,尾唇斑葉蘭,,,,,,,稀有級,,,,,
1040,Goodyera repens,南投斑葉蘭,,,,,,,稀有級,III,III,III,,
1041,Goodyera seikoomontana,歌綠懷蘭,,Endemic,,,rank2,,,,,,,
1042,Goodyera yamiana,蘭嶼金銀草,,Endemic,,,rank2,,,,,,,
1043,Habenaria polytricha,裂瓣玉鳳蘭,,,,,,第三級,稀有級,III,III,III,,
1044,Haraella retrocalla,香蘭,,,,第三級,rank3,,稀有級,III,III,III,C E,HR OP
