編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
390,Pasania chiaratuangensis ,加拉段柯,VU,,EN(I),,,,漸危級,"I,III※","I,III※",,,
391,Pasania dodonaeifolia,柳葉柯,VU,Endemic,VU(I),第二級,rank2,第二級,漸危級,"I,III","I,III",,,
392,Pasania formosana,臺灣柯,NT,Endemic,CR(I),第二級,rank2,第二級,稀有級,III,III,,A E ,HR EP
393,Quercus aliena var. acuteserrata,槲櫟,EN,,,,,,絕滅級,"I,III※△","I,III",,A,HR EP
394,Quercus dentata ,槲樹,NT,,VU(I),,,,絕滅級,"II,III※△","I,III",,,
395,Quercus glandulifera var. brevipetiolata ,思茅櫧櫟,VU,,EN(I),,,,,"II,III※","II,III※",,A,HR EP
396,FLACOURTIACEAE,大風子科,,,,,,,,,,,,
397,Flacourtia rukam,羅庚梅,NT,,VU(Ⅴ),,,,,,,,A,HR
398,Homalium cochinchinensis,天料木,NT,,,,,,稀有級,III,III,III,,
399,GENTIANACEAE,龍膽科,,,,,,,,,,,,
400,Gentiana horaimontana,高山龍膽,EN,Endemic,EN(Ⅲ),,rank2,第二級,,,,,,
401,Gentiana itzershanensis,伊澤山龍膽,VU,Endemic,EN(Ⅲ),,rank2,第二級,,,,,,
402,Gentiana kaohsiungensis,高雄龍膽,NT,Endemic,,,rank4,,,,,,,
403,Gentiana tarokoensis,太魯閣龍膽,CR,Endemic,,,rank1,第一級,,,,,,
404,Gentiana tatakensis,塔塔加龍膽,VU,Endemic,EN(Ⅲ),,rank2,第二級,,,,,,
405,Gentiana tentyoensis,厚葉龍膽,CR,Endemic,CR(Ⅲ),,rank1,第一級,稀有級,III,III,III,,
406,Gentiana tenuissima,臺東龍膽,NT,Endemic,EN(Ⅲ),,rank2,第二級,,,,,,
407,Lomatogonium chilaiensis,奇萊肋柱花,CR,Endemic,,第一級,rank1,,,,,,,
408,Nymphoides coreana,小莕菜,NT,,EN(Ⅳ),,,,,I,I,,,
409,Nymphoides lungtanensis,龍潭莕菜,CR,Endemic,,,rank4,,,,,,,
410,Nymphoides peltata,金蓮花,EW,,EW(Ⅳ),,,,稀有級,I※※,I※※,I※※,,
411,Pterygocalyx volubilis,翼萼蔓,VU,,EN(Ⅲ),,,,,,,,,
412,Swertia arisanensis,阿里山當藥,VU,Endemic,,,rank3,,,,,,,
413,Swertia shintenensis,新店當藥,NT,Endemic,,第三級,rank3,,,,,,,
414,Tripterospermum cordifolium,高山肺形草,VU,Endemic,,,,第三級,,,,,,
415,Tripterospermum microphyllum,小葉雙蝴蝶,NT,Endemic,,第三級,rank3,第三級,,,,,,
416,GERANIACEAE,牻牛兒苗科,,,,,,,,,,,,
417,Geranium wilfordii,老鸛草,NT,,,,,,稀有級,III,,,,
418,GESNERIACEAE,苦苣苔科,,,,,,,,,,,,
419,Chirita anachoreta,雙心皮草,待討論,,VU(Ⅳ),,,,,,,,,
420,Conandron ramondioidae,苦苣苔,待討論,,NT(Ⅳ),,,,,,,,,
421,Cyrtandra umbellifera,雄胞囊草,,,VU(Ⅳ),,,,稀有級,III,III,,A,HR
422,Epithema taiwanensis ,臺灣苣苔,,Endemic,,第二級,rank2,,,,,,,
423,Epithema taiwanensis var. fasciculate,密花苣苔,,,VU(Ⅴ),,,,,,,,,
424,Lysionotus pauciflorus var. ikedae,蘭嶼石吊蘭,,Endemic,VU(Ⅳ),,rank1,第一級,稀有級,"I,III ※",III ※,III,,
425,Rhynchotechum formosanum,蓬萊同蕊草,,Endemic,VU(Ⅳ),,,,稀有級,III,III,III,,
426,Whytockia sasakii,玉鈴花,待討論,Endemic,LC(Ⅳ),,rank3,,,,,,,
427,GOODENIACEAE,草海桐科,,,,,,,,,,,,
428,Scaevola hainanensis,海南草海桐,EN,,CR(Ⅲ),,,,稀有級,"I,III",I,I,A,HR
429,GUTTIFERAE,金絲桃科,,,,,,,,,,,,
430,Calophyllum blancoi,蘭嶼胡桐,CR,,EN(Ⅲ),,,,,,,,A E,HR
431,Garcinia linii,蘭嶼福木,NT,Endemic,,第三級,rank1,第一級,稀有級,III,III,III,A E,HR EP
432,Hypericum formosanum ,臺灣金絲桃,NT,Endemic,VU(I),第三級,rank3,第三級,稀有級,III,III,,,
433,Hypericum nakamurai ,清水金絲桃,VU,Endemic,VU(I),,rank2,第二級,稀有級,III,III,,,
434,Hypericum nokoense,能高金絲桃,,Endemic,,,rank4,,稀有級,,,,,
435,Hypericum subalatum ,方莖金絲桃,VU,Endemic,EN(I),第一級,rank1,第一級,稀有級,III,III,,,
436,HAMAMELIDACEAE,金縷梅科,,,,,,,,,,,,
437,Corylopsis multiflora,臺灣瑞木,CR,Endemic,EN(Ⅲ),,rank2,,,,,,,
438,Corylopsis pauciflora ,小葉瑞木,NT,,nt(II),,,,稀有級,III,III,III,A,HR
439,Distyliopsis dunnii,尖葉水絲梨,VU,,VU(Ⅲ),,,,稀有級,III,III,,,
440,Distylium gracile ,細葉蚊母樹,VU,Endemic,EN(I),,rank2,第三級,稀有級,,,,,
441,Hernandia nymphiifolia,蓮葉桐,VU,,VU(Ⅲ),,,,稀有級,III※,III※,"I,III※",A,HR
442,HYDROPHYLLACEAE,田亞麻科,,,,,,,,,,,,
443,Hydrolea zeylanica,探芹草,,,VU(Ⅵ),,,,,,,,,
444,ICACINACEAE,茶茱萸科,,,,,,,,,,,,
445,Gomphandra luzoniensis ,呂宋毛蕊木,VU,,VU(II),,,,,,,,A,HR
446,Gonocaryum calleryanum,柿葉茶茱萸,VU,,,,,,稀有級,III,III,III,A,HR
447,Nothapodytes foetida,青脆枝,VU,,,,,,,,,,A,HR
448,LABIATAE,唇形科,,,,,,,,,,,,
449,Ajuga dictyocarpa,網果筋骨草,VU,,VU(Ⅴ),,,,,,,,,
450,Ajuga nipponensis,日本筋骨草,VU,,VU(Ⅴ),,,,,,,,,
451,Ajuga pygmaea,矮筋骨草,NT,,NT(Ⅴ),,,,,,,,,
452,Basilicum polystachyon,小冠薰,NT,,NT(Ⅴ),,,,,,,,,
453,Clinopodium laxiflorum,臺灣風輪菜,NT,,,第二級,rank2,,,,,,,
454,Comanthosphae formosana,臺灣白木草,NT,Endemic,NT(Ⅴ),第二級,rank2,,,,,,,
455,Keiskea macrobracteata,大苞偏穗花,NT,Endemic,,,rank2,,,,,,,
456,Lamium amplexicaule,寶蓋草,EX,,EX(Ⅴ),,,,,,,,,
457,Lycopus lucidus,地笋,EN,,EN(Ⅴ),,,,,,,,,
458,Pogostemon stellatus,水虎尾,EN,,EN(Ⅳ),,,,,,,,,
459,Prunella vulgaris subsp. asiatica var. nanhutashanensis,高山夏枯草,NT,Endemic,,,rank4,,,,,,,
460,Salvia formosana,臺灣紫花鼠尾草,,Endemic,,,rank4,,,,,,,
461,Salvia hayatana,早田氏鼠尾草,NT,Endemic,,,rank3,,,,,,,
462,Scutellaria austrotaiwanensis,南臺灣黃芩 ,NT,Endemic,NT(Ⅴ),,rank4,第四級,,,,,,
463,Scutellaria playfairi,布烈氏黃芩,NT,Endemic,NT(Ⅴ),,,,,,,,,
464,Scutellaria taiwanensis,臺灣黃芩,NT,Endemic,NT(Ⅴ),,rank4,第三級,,,,,,
465,Scutellaria tashiroi,田代氏黃芩,NT,Endemic,NT(Ⅴ),第三級,rank3,,,,,,,
466,Suzukia luchuensis,琉球鈴木草,VU,,VU(Ⅴ),,,,,,,,,
467,Teucrium taiwanianum,臺灣香科科,VU,Endemic,VU(Ⅴ),第三級,rank4,第四級,,,,,,
468,LARDIZABALACEAE,木通科,,,,,,,,,,,,
469,Akebia trifoliata  subsp. australis ,白木通,NT,,VU(II),,,,,,,,,
470,LAURACEAE,樟科,,,,,,,,,,,,
471,Cinnamomum austrosinense,牡丹葉桂皮,NT,,EN(I),,,第三級,稀有級,,,,A E,HR
472,Cinnamomum brevipedunculatum,小葉樟,NT,Endemic,,,rank3,第三級,稀有級,"I,III",III,III,A E,HR
473,Cinnamomum insularimontanum,臺灣肉桂,,Endemic,,,,,,,,,C E,HR EP
474,Cinnamomum kanehirae ,牛樟,VU,Endemic,EN(I),,rank3,第三級,,,,,,
475,Cinnamomum kotoense ,蘭嶼肉桂,EN,Endemic,CR(I),第一級,rank1,第一級,稀有級,III,"II,III","II,III",A E,HR
476,Cinnamomum macrostemon ,胡氏肉桂,,Endemic,VU(I),,rank4,第三級,,,,,,
477,Cinnamomum osmophloeum,土肉桂,NT,Endemic,,,,,漸危級,II,II,II,C E,HR MP EP
478,Cinnamomum reticulatum ,土樟,NT,Endemic,VU(I),,rank2,,,,,,A E,HR EP
479,Cryptocarya elliptifolia,大果厚殼桂,VU,,CR(I),,,,,,,,,
480,Dehaasia incrassata ,腰果楠,VU,,CR(I),,,,稀有級,III※,III※,III※,A,HR OP
481,Endiandra coriacea,三蕊楠,VU,,,,,,稀有級,III,III,III,A,HR
482,Litsea akoensis var. sasakii,狹葉木薑子,NT,Endemic,,,rank4,,,,,,,
483,Litsea garciae,蘭嶼木薑子,VU,,,,,,,III,III,III,A,HR
484,Neolitsea hiiranensis,南仁山新木薑子,NT,Endemic,VU(Ⅲ),,rank3,第三級,,,,,A E,HR
485,Neolitsea sericea  var. aurata ,金新木薑子,NT,,CR(I),,,,,,,,,
486,Neolitsea villosa ,蘭嶼新木薑子,NT,,CR(I),,,,,,,,A,HR
487,LECYTHIDACEAE,玉蕊科,,,,,,,,,,,,
488,Barringtonia asiatica ,棋盤腳樹,VU,,VU(I),,,,漸危級,"I,III","I,III","I,III",D,HR
489,Barringtonia racemosa,水茄冬,NT,,,,,,稀有級,,,,,
490,LEGUMINOSAE,豆科,,,,,,,,,,,,
491,Acacia intsia,藤相思樹,,,,,,,,,,,C,HR
492,Apios taiwanianus,臺灣土圞兒,,,,,rank3,第三級,稀有級,,,,,
493,Astragalus nankotaizanensis,南湖大山紫雲英,,Endemic,VU(Ⅵ),,rank1,第一級,,,,,,
494,Astragalus nokoensis,能高大山紫雲英,,Endemic,,第三級,rank2,,,,,,,
495,Caesalpinia bonduc,老虎心,,,EN(Ⅵ),,,,,,,,,
496,Caesalpinia decapetala,雲實,,,,,,,稀有級,III,III,III,,
497,Cassia sophora var. penghuana,澎湖決明,,Endemic,,,rank4,第四級,稀有級,III,III,"II,III",,
498,Chamaecrista garambiensis,鵝鑾鼻決明,,Endemic,,第二級,rank4,第四級,,,,,,
499,Crotalaria similis,鵝鑾鼻野百合,,Endemic,VU(Ⅵ),第一級,rank1,第一級,,,,,,
500,Desmodium gracillimum,細葉山螞蝗,,Endemic,,,rank2,,,,,,,
501,Dolichos trilobus var. kosyunensis,三裂葉扁豆,,Endemic,,,rank2,第二級,,,,,,
502,Dumasia miaoliensis,苗栗野豇豆,,Endemic,EN(Ⅵ),第二級,rank2,,,,,,,
503,Entada koshunensis,恆春鴨腱藤,,,,,,,稀有級,"I,III",,,,
504,Entada phaseoloides,鴨腱藤,,,,,,,稀有級,"I,III",I,I,,
505,Entada pursaetha var. formosana,臺灣鴨腱藤,,,,,rank4,,稀有級,"I,III","I,III",,,
506,Eriosema chinense,豬仔笠,,,VU(Ⅵ),,,,,,,,,
507,Euchres formosana,臺灣山豆根,,,,,,,,,,,C,HR
508,Gleditsia rolfei ,恆春皂莢,,Endemic,VU(II),,rank2,第二級,稀有級,"I,III",II,II,,
509,Glycine dolichocarpa,扁豆莢大豆,,Endemic,,,rank3,,,,,,,
510,Glycine max subsp. formosana,臺灣大豆,,Endemic,,,rank3,,,,,,,
511,Glycine tabacina ,澎湖大豆,,,,,,,稀有級,,,,,
512,Indigofera byobiensis,貓鼻頭木藍,,Endemic,,第一級,rank1,,稀有級,,,,,
513,Indigofera ramulosissima ,太魯閣木藍,,Endemic,EN(I),第一級,rank1,第一級,稀有級,,,,,
514,Indigofera taiwaniana,臺灣木藍,,Endemic,,第四級,rank4,第四級,,,,,,
515,Indigofera zollingeriana,蘭嶼木藍,,,,,,,稀有級,,,,,
516,Lotus australis,蘭嶼百脈根,,,VU(Ⅵ),,,,,,,,,
517,Maackia taiwanensis ,臺灣馬鞍樹,,Endemic,EN(I),第二級,rank2,第一級,,III※,III※,III,,
518,Millettia pulchra var. microphylla,小葉魚藤,,Endemic,CR(Ⅲ),,rank4,第一級,,,,,,
519,Mucuna gigantea subsp. tashiroi,大血藤,,Endemic,,第一級,rank1,第一級,稀有級,,,,,
520,Mucuna membranacea,蘭嶼血藤,,,EN(Ⅵ),,,,,,,,,
521,Ormocarpum cochinchinensis,濱槐,,,NT(Ⅵ),,,,,,,,,
522,Ormosia formosana,臺灣紅豆樹,,Endemic,VU(Ⅲ),,rank2,第三級,,,,,C E,HR OP
523,Ormosia hengchuniana,恆春紅豆樹,,Endemic,VU(Ⅲ),第三級,rank3,第二級,,,,,,
524,Zornia intecta,臺東葵草,,Endemic,,第二級,rank2,,,,,,,
525,LENTIBULARIACEAE,狸藻科,,,,,,,,,,,,
526,Utricularia bifida,挖耳草,,,VU(Ⅵ),,,,,,,,,
527,Utricularia minor,小貍藻,,,,,,,稀有級,,,,,
528,Utricularia striatura,圓葉挖耳草,NT,,,,,,稀有級,"I,III","I,III","I,III",,
529,Utricularia uliginosa,齒萼挖耳草,RE,,CR(Ⅳ),,,,,,,,,
530,LOGANIACEAE,馬錢科,,,,,,,,,,,,
531,Buddleja curviflora,彎花醉魚木,VU,Endemic,VU(Ⅳ),,,,稀有級,III※,III※,III※,,
532,Fagraea ceilanica ,灰莉,NT,,EN(I),,,,稀有級,III,III,III,A,HR
533,Geniostema glabra,偽木荔枝,VU,,,,,,,,,,A,HR
534,Strychnos henryni ,臺灣馬錢,NT,,,,,,稀有級,III,III,III,A E,HR
535,LORANTHACEAE,桑寄生科,,,,,,,,,,,,
536,Loranthus kaoi,高氏桑寄生,NT,Endemic,,,rank3,,,,,,,
537,Taxillus pseudochinensis,恆春桑寄生,,Endemic,,,rank3,第三級,,,,,,
538,Viscum aluiformosanae,臺灣槲寄生,,Endemic,,,,,,,,,C E,HR
539,Viscum multinerve,刀葉槲寄生,NT,Endemic,,,,第二級,,,,,C E,HR
540,LYTHRACEAE,千屈菜科,,,,,,,,,,,,
541,Rotala hippuris,水杉菜,,,CR(I),,,,稀有級,,,,,
542,MALPIGHIACEAE,黃褥花科,,,,,,,,,,,,
543,Ryssopterys timoriensis,翅實藤,CR,,,,,,稀有級,III,I,I,,
544,Tristellateia australasiae ,三星果藤,EN,,CR(I),,,,稀有級,,,,,
545,MALVACEAE,錦葵科,,,,,,,,,,,,
546,Thespesia populnea ,繖楊,VU,,EN(I),,,,稀有級,"I,III",I,I,A,HR EP
547,Thespesia theophrasti,筒麻,,,,,,,稀有級,III,III,III,C,HR
548,MELASTOMATACEAE,野牡丹科,,,,,,,,,,,,
549,Bredia hirsuta var. rotundifolia,圓葉布勒徳藤,VU,Endemic,EN(Ⅴ),第三級,rank3,第三級,稀有級,III※,III※,III※,,
550,Medinilla formosana,臺灣野牡丹藤,VU,Endemic,VU(Ⅴ),第二級,rank2,第二級,,,,,,
551,Medinilla hayataina,蘭嶼野牡丹藤,CR,Endemic,,第一級,rank1,第一級,稀有級,III,III,III,A E,HR
552,Melastoma intermedia,水社野牡丹,VU,,,,,,稀有級,III,III,III,,
553,Memecylon lanceolatum,革葉羊角扭,VU,,,,,,,,,,A,HR
554,Osbeckia opipara ,闊葉金錦香,CR,,,,,,稀有級,III,III,III,,
555,Sonerila ternata,三蕊草,CR,,VU(Ⅴ),,,,,,,,,
556,MELIACEAE,楝科,,,,,,,,,,,,
557,Aphanamixis polystachya ,穗花樹蘭,NT,,EN(I),,,,稀有級,,,,A,HR EP
558,Chisocheton kanehirai,蘭嶼擬 木堅 木,VU,,EN(II),,,,,,,,A E,HR
559,Dysoxylum arborescens,蘭嶼 木堅 木,NT,,,,,,,,,,A,HR
560,Dysoxylum cumingianum,蘭嶼 木空 木,NT,,,,,,稀有級,III,III,III,A,HR
561,MENISPERMACEAE,防己科,,,,,,,,,,,,
562,Stephania merrillii,蘭嶼千金藤,,,,,,,,III,III,III,,
563,Cocculus laurifolius,樟葉木防己,VU,,VU(Ⅴ),,,,,,,,,
564,Stephania tetrandra,石蟾蜍,VU,,,,,,,,,,C,HR
565,Tinospora dentata,恆春青牛膽,CR,Endemic,,第二級,rank2,,,,,,,
566,MORACEAE,桑科,,,,,,,,,,,,
567,Artocarpus lanceolata,蘭嶼麵包樹,VU,,,,,,,,,,A,HR
568,Ficus esquiroliana,黃毛榕,NT,,VU(Ⅲ),,,,稀有級,III※,III※,III※,,
569,Ficus heteropleura ,尖尾長葉榕,VU,,EN(I),,,,稀有級,,,,,
570,Ficus microcarpa var. crassifolia,厚葉榕,,,,,,,,,,,A E,HR OP
571,Ficus microcarpa var. oluangpiensis,鵝鑾鼻藤榕,,Endemic,,,rank4,,,,,,,
572,Ficus pedunculosa,蔓榕,NT,,VU(Ⅲ),,,,,,,,A,HR OP
573,Ficus pedunculosa var. mearnsii,鵝鑾鼻蔓榕,NT,,LC(Ⅲ),,,第四級,,,,,,
574,Ficus pubenervis,綠島榕,NT,,,,,,,,,,A,HR OP
575,MYOPORACEAE,苦藍盤科,,,,,,,,,,,,
576,Myoporum bontioides,苦藍盤,EN,,,,,,瀕危級,I,I,I,C,HR
577,MYRICACEAE,楊梅科,,,,,,,,,,,,
578,Myrica adenophora,恆春楊梅,CR,,,,,,稀有級,III,III,III,A E ,HR
579,MYRISTICACEAE,肉豆蔻科,,,,,,,,,,,,
580,Myristica ceylanica var. cagayanensis,蘭嶼肉豆蔻,NT,,EN(Ⅲ),,,,稀,III,II,II,A,HR EP
581,Myristica elliptica var. simiarum,紅頭肉豆蔻,CR,,EN(Ⅲ),,,,稀,III,II,II,A,HR
582,MYRSINACEAE,紫金牛科,,,,,,,,,,,,
583,Ardisia elliptica,蘭嶼紫金牛,VU,,,,,,稀有級,,,,,
584,Ardisia kusukuensis,高士佛紫金牛,VU,Endemic,,,rank2,第三級,稀有級,"I,III","I,III","I,III",,
585,Ardisia maclurei,麥氏紫金牛,NT,,,,,,稀有級,III,III,III,,
586,Ardisia villosa ,雪下紅,NT,,EN(II),,,,,,,,,
587,Ardisia violacea,裡菫紫金牛,NT,Endemic,,第四級,rank4,,稀有級,III,III,III,,
588,MYRTACEAE,桃金孃科,,,,,,,,,,,,
589,Acmena acuminatissima,賽赤楠,NT,,,,,,稀有級,III,III,III,A,HR 
590,Syzygium taiwanicum,台灣棒花蒲桃,VU,,,,,,,III,III,,,
591,Syzygium densinervium,密脈赤楠,NT,Endemic,,第二級,rank2,,稀有級,III,III,,A E,HR
592,Syzygium euphlebium,細脈赤楠,,Endemic,,,,,稀有級,III,III,,,
593,Syzygium kusukusense,高士佛赤楠,NT,Endemic,,,rank3,第三級,,,,,,
594,Syzygium paucivenium,疏脈赤楠,VU,,VU(Ⅵ),,,,稀有級,III,III,,A,HR
595,Syzygium simile,蘭嶼赤楠,NT,,,,,,稀有級,III,III,,A E,HR
596,Syzygium tripinnatum,大花赤楠,NT,,VU(Ⅵ),,,,稀有級,III,,,A,HR
597,NYMPHAEACEAE,睡蓮科,,,,,,,,,,,,
598,Euryale ferox,芡實,,,CR(I),,,,漸危級,II※,II※,II※,,
599,Nuphar shimadai ,臺灣萍蓬草,,Endemic,CR(II),第一級,rank1,第一級,瀕危級,"I,III※","I,III※","I,III※",,
600,OLACACEAE,鐵青樹科,,,,,,,,,,,,
601,Olax imbricata,菲律賓鐵青樹,CR,,CR(Ⅲ),,,,,,,,,
602,Schoepfia jasminodora,青皮木,NT,,NT(Ⅴ),,,,稀有級,III,III,III,,
603,OLEACEAE,木犀科,,,,,,,,,,,,
604,Chionanthus coriaceus,厚葉李欖,CR,,CR(Ⅳ),,,,,,,,A,HR
605,Chionanthus ramiflora ,紅頭李欖,NT,,EN(II),,,,,,,,A,HR
606,Chionanthus retusus,流蘇樹,CR,,,,,,瀕危級,"I,III※","I,III※","I,III※",A ,HR OP
607,Ligustrum morrisonense,玉山女貞,NT,Endemic,,,rank3,,,,,,,
608,ONAGRACEAE,柳葉菜科,,,,,,,,,,,,
609,Epilobium nankotaizanense,南湖柳葉菜,待討論,Endemic,,,rank3,第三級,稀有級,III,III,III,,
610,Epilobium pengii,彭氏柳葉菜,,Endemic,,,rank4,第四級,,,,,,
611,Epilobium taiwanianum,臺灣柳葉菜,,Endemic,,,,第四級,,,,,,
612,Ludwigia ovalis,卵葉水丁香,,,,,,,稀有級,,,,,
613,Ludwigia perennis,小花水丁香,,,,,,,稀有級,,,,,
614,OROBANCHACEAE,列當科,,,,,,,,,,,,
615,Christisonia sinensis,假野菰,,,,,,,稀有級,III,III,III,,
616,OXALIDACEAE,酢醬草科,,,,,,,,,,,,
617,Oxalis acetosella subsp. taemoni,大霸尖山酢醬草,VU,Endemic,,,rank3,,,,,,,
618,PAPAVERACEAE,罌粟科,,,,,,,,,,,,
619,Macleaya cordata ,薄落迴,VU,,VU(II),,,,稀有級,III,I,I,,
620,PASSIFLORACEAE,西番蓮科,,,,,,,,,,,,
621,Adenia formosana,假西番蓮,EN,Endemic,,,rank4,,,,,,,
622,PITTOSPORACEAE,海桐科,,,,,,,,,,,,
623,Pittosporum illicioides,細葉疏果海桐,VU,Endemic,,第二級,rank2,第二級,稀有級,III,III,III,,
624,PLUMBAGINACEAE,藍雪科,,,,,,,,,,,,
625,Limonium wrightii,烏芙蓉,,,,,,,稀有級,II※,II※,"I,II",,
626,POLYGALACEAE,遠志科,,,,,,,,,,,,
627,Epirixanthus elongata,寄生鱗葉草,VU,,VU(Ⅵ),,,,,,,,,
628,Polygala arcuata,巨葉花遠志,NT,Endemic,,第三級,rank3,,稀有級,III,III,III,,
629,POLYGONACEAE,蓼科,,,,,,,,,,,,
630,Polygonum maackianum,長戟葉蓼,,,,,,,,"I,III","I,III","I,III",,
631,Polygonum pulchrum ,絨毛蓼,,,,,,,稀有級,I,I,I,,
632,PRIMULACEAE,報春花科,,,,,,,,,,,,
633,Lysimachia chingshuiensis,清水山過路黃,,,,,rank1,第二級,,,,,,
634,Stimpsonia chamaedryoides,施丁草,,,,,,,稀有級,,,,,
635,PYROLACEAE,鹿蹄草科,,,,,,,,,,,,
636,Monotropa hypopithys,錫杖花,NT,,NT(Ⅳ),,,,稀有級,III,III,III,C,HR
637,RAFFLESIACEAE,大花草科,,,,,,,,,,,,
638,Mitrastemon kawasasakii,臺灣奴草,VU,Endemic,,第三級,rank3,,稀有級,"I,III",III,III,C E,HR
639,Mitrastemon yamamotoi var. kanehirai ,菱形奴草,EN,Endemic,CR(II),,rank1,,漸危級,"I,III※",III※,III,,
640,RANUNCULACEAE,毛茛科,,,,,,,,,,,,
641,Aconitum fukutomei var. formosanum,蔓烏頭,,Endemic,,,rank3,第三級,稀有級,,,,C,MP
642,Calathodes polycarpa,多果雞爪草,,,EN(Ⅲ),,,,,,,,,
643,Clematis akoensis ,屏東鐵線蓮,,Endemic,VU(II),第三級,rank3,第三級,稀有級,,,,,
644,Clematis formosana,臺灣鐵線蓮,,Endemic,,,rank3,,,,,,,
645,Clematis psilandra,臺灣牡丹藤,,Endemic,,,rank3,第三級,,,,,,
646,Clematis tsugetorum,高山鐵線蓮,,Endemic,,第三級,rank3,第二級,,,,,,
647,Ranunculus morii,森氏毛茛,,Endemic,,,rank1,第一級,稀有級,,,,,
648,Ranunculus nankotaizanus,南湖毛茛,,Endemic,,,rank4,第四級,,,,,,
649,Thalictrum myriophyllum,密葉唐松草,,Endemic,,,rank3,,,,,,,
650,Thalictrum rubescens,南湖唐松草,,Endemic,,第三級,rank3,,,,,,,
651,Thalictrum sessile,玉山唐松草,,Endemic,,,rank3,,,,,,,
652,Thalictrum urbaini var. majus,大花傅氏唐松草,,Endemic,,,rank3,,,,,,,
653,Trollius taihasenzanensis,臺灣金蓮花,,Endemic,,第三級,rank3,,,,,,,
654,RHAMNACEAE,鼠李科,,,,,,,,,,,,
655,Berchemia arisanensis,阿里山黃鱔藤,VU,Endemic,,,rank4,第四級,,,,,,
656,Colubrina asiatica,亞洲濱棗,CR,,,,,,稀有級,III,III,,A,HR
657,Rhamnus chingshuiensis,清水鼠李,CR,Endemic,,,rank4,第四級,,,,,,
658,RHIZOPHORACEAE,紅樹科,,,,,,,,,,,,
659,Brugeiera gymnorrhiza,紅茄苳,EW,,,,,,漸危級,I,I,I,A,HR EP
660,Ceriops tagal,細蕊紅樹,EW,,,,,,絕滅級,I※△,I※,I※,A,HR
661,Kandelia candel,水筆仔,NT,,,,,,漸危級,III,III,III,A ,HR EP
662,Rhizophora stylosa ,紅海欖,VU,,EN(II),,,,瀕危級,,,,,
663,ROSACEAE,薔薇科,,,,,,,,,,,,
664,Filipendula kiraishiensis,臺灣蚊子草,NT,Endemic,,,rank3,,,,,,,
665,Geum japonicum,日本水楊梅,VU,,VU(Ⅵ),,,,稀有級,,,,,
666,Malus hupehensis ,湖北海棠,VU,,CR(II),,,,稀有級,III,III,,,
667,Osteomeles anthyllidifolia,小石積,CR,,EN(Ⅵ),,,,稀有級,III,III,III,,
668,Potentilla tugitakensis,雪山翻白草,NT,Endemic,,,rank3,,稀有級,,,,,
669,Prunus grisea,蘭嶼野櫻花,VU,,EN(II),,,,,,,,A,HR
670,Prunus obtusata,臺灣椆李,VU,,VU(Ⅲ),,,,,,,,,
671,Prunus transarisanensis ,阿里山櫻花,VU,Endemic,nt(II),,rank4,,,,,,,
672,Pyracantha koidzumii ,臺灣火刺木,EN,Endemic,EN(II),第一級,rank1,第一級,,,,,C E,HR OP
673,Pyrus calleryana ,豆梨,CR,,NE(II),,,,,,,,,
674,Pyrus taiwanensis,臺灣野梨,CR,Endemic,NE(Ⅲ),,rank4,第四級,,,,,C E,HR
675,Rhaphiolepis indica var. umbellata,厚葉石斑木,NT,,NT(Ⅲ),,,,,,,,A,HR OP
676,Rosa laevigata ,金櫻子,EN,,CR(II),,,,,,,,,
677,Rosa luciae var. rosea,臺灣光葉薔薇,,Endemic,,,rank4,第四級,,,,,,
678,Rosa pricei,太魯閣薔薇,,Endemic,,,rank4,第四級,,,,,,
679,Rubus lanyuensis,蘭嶼懸鉤子,NT,Endemic,,,rank4,第四級,,,,,,
680,Spiraea tarokoensis,太魯閣繡線菊,NT,Endemic,,,rank2,第三級,稀有級,III,III,,,
681,Spiraea tatakaensis,塔塔加繡線菊,CR,,,,,,,III,III,,,
682,Stephanandra incisa,冠蕊木,NT,,VU(Ⅲ),,,,稀有級,III,III,III,A,HR
683,RUBIACEAE,茜草科,,,,,,,,,,,,
684,Argostemma solaniflorum,水冠草,,,VU(Ⅵ),,,,,,,,A,HR
685,Cephalanthus naucleoides,風箱樹,,,EW(Ⅳ),,,,漸危級,"I,III※",III※,III,A,HR
686,Galium fukuyamae,福山氏豬殃殃,,Endemic,,,rank2,,,,,,,
687,Galium morii,森氏豬殃殃,,Endemic,,,rank3,,,,,,,
688,Galium nankotaizanum,南湖大山豬殃殃,,Endemic,NT(Ⅳ),,rank3,,,,,,,
689,Galium tarokoense,太魯閣豬殃殃,,Endemic,LC(Ⅳ),,rank3,第二級,稀有級,,,,,
690,Hedyotis butensis,臭涼喉茶,,Endemic,,,rank4,第四級,,,,,,
691,Ixora philippinensis,小仙丹花,,,,,,,,,,,A ,HR
692,Lasianthus hiiranensis,棲蘭山雞屎樹,,,,,,,稀有級,,,,A,HR
693,Lasianthus obliquinervis var. simizui,清水氏雞屎樹,,Endemic,,,rank4,,,,,,,
694,Mussaenda macrophylla ,大葉玉葉金花,,,EN(II),,,,稀有級,III,III,III,A ,HR
695,Ophiorrhiza liukiuensis,小花蛇根草,,,,,,,,,,,A,HR
696,Psychotria cephalophora,蘭嶼九節木,,,,,,,,,,,A,HR
